section No.,section difficulty score,decay weight,weighted score
201,27.719,1.0,27.719
199,27.68,0.9,24.912
200,26.8,0.81,21.708000000000002
202,26.033,0.7290000000000001,18.978057000000003
255,25.4925,0.6561,16.72562925
331,24.866849999999996,0.5904900000000001,14.6836262565
56,23.79715,0.531441,12.64678119315
243,22.39,0.4782969000000001,10.709067591000002
197,21.6299,0.4304672100000001,9.310962705579001
30,19.3666,0.3874204890000001,7.503017642267401
273,16.395,0.3486784401000001,5.716583025439501
328,15.9335,0.31381059609000006,5.000101132800016
196,15.0,0.2824295364810001,4.236443047215001
83,14.868949999999996,0.2541865828329001,3.7794875908132486
33,14.65345,0.2287679245496101,3.3522393439914837
236,14.46,0.20589113209464907,2.9771857700886257
190,14.3,0.18530201888518416,2.6498188700581338
190,14.3,0.16677181699666577,2.3848369830523204
259,14.237400000000001,0.15009463529699918,2.136957360577496
225,12.5,0.13508517176729928,1.688564647091241
212,12.237,0.12157665459056935,1.4877335222247972
173,12.212,0.10941898913151242,1.3362246952740295
260,12.0977,0.09847709021836118,1.191346294334668
130,11.7591,0.08862938119652507,1.042201756428058
131,11.742,0.07976644307687256,0.9366175746086376
329,11.026150000000001,0.0717897987691853,0.7915650896988526
159,10.796,0.06461081889226677,0.6975384007609121
80,10.787,0.058149737003040096,0.6272612130517936
234,10.64,0.05233476330273609,0.556841881541112
95,10.43,0.047101286972462485,0.4912664231227837
31,10.299299999999999,0.04239115827521624,0.43659925642393455
60,10.293199999999999,0.038152042447694615,0.39270660332261015
135,10.2,0.03433683820292515,0.3502357496698365
90,10.137,0.030903154382632636,0.313265275976747
171,10.135599999999998,0.027812838944369374,0.2818998104045502
132,9.847100000000001,0.025031555049932437,0.24648822573218973
78,9.843499999999999,0.022528399544939195,0.22175830092060894
251,9.672,0.020275559590445275,0.1961052123587867
4,9.634,0.01824800363140075,0.17580126698491483
68,9.438949999999998,0.016423203268260675,0.15501779448894906
298,9.39,0.014780882941434608,0.13879249082007097
195,9.38325,0.013302794647291146,0.12482344787419465
183,9.3,0.011972515182562033,0.11134439119782691
32,9.2853,0.01077526366430583,0.10005155570217891
58,9.24805,0.009697737297875247,0.08968515941761517
59,9.15805,0.008727963568087723,0.07993112675472576
92,9.1,0.00785516721127895,0.07148202162263845
92,9.1,0.007069650490151055,0.0643338194603746
25,9.0535,0.00636268544113595,0.05760457264132432
98,8.765,0.005726416897022355,0.05019204410240094
69,8.64115,0.00515377520732012,0.04453454463273425
216,8.628199999999998,0.004638397686588108,0.04002102291941951
66,8.58755,0.004174557917929297,0.03584922484811374
82,8.585950000000002,0.0037571021261363674,0.03225829099990055
9,7.9773,0.0033813919135227306,0.02697437771174488
306,7.8905,0.0030432527221704577,0.024012785604285998
198,7.85,0.002738927449953412,0.021500580482134286
119,7.778700000000001,0.002465034704958071,0.01917476545945735
263,7.662700000000001,0.002218531234462264,0.016999939290313994
250,7.446,0.0019966781110160375,0.014867265214625414
222,7.3,0.001797010299914434,0.013118175189375367
67,7.27955,0.0016173092699229906,0.011773283695867907
99,7.115,0.0014555783429306916,0.010356439909951871
174,6.9559999999999995,0.0013100205086376223,0.0091125026580833
220,6.95,0.0011790184577738603,0.008194178281528328
220,6.95,0.001061116611996474,0.007374760453375495
327,6.8151,0.0009550049507968268,0.0065084542401754545
100,6.6885,0.0008595044557171441,0.0057487955520641185
77,6.566700000000001,0.0007735540101454297,0.005079697118421994
5,6.49,0.0006961986091308868,0.004518328973259455
338,6.45,0.0006265787482177981,0.004041432926004797
338,6.45,0.0005639208733960184,0.0036372896334043187
76,6.4,0.0005075287860564165,0.003248184230761066
264,6.3462000000000005,0.00045677590745077487,0.0028987912638641076
274,6.172,0.0004110983167056974,0.0025372988107075643
53,6.143500000000001,0.00036998848503512764,0.002273024257813307
107,5.8855,0.0003329896365316149,0.00195981050580682
241,5.87,0.0002996906728784534,0.0017591842497965214
42,5.8455,0.0002697216055906081,0.0015766576454798998
41,5.8425,0.0002427494450315473,0.0014182636325968151
81,5.835,0.00021847450052839255,0.0012747987105831706
296,5.825,0.00019662705047555332,0.001145352569020098
194,5.76665,0.00017696434542799797,0.0010204914425623645
203,5.7490000000000006,0.00015926791088519818,0.0009156312196790045
79,5.715,0.00014334111979667836,0.0008191944996380168
108,5.7,0.00012900700781701054,0.0007353399445569601
108,5.7,0.00011610630703530949,0.0006618059501012642
108,5.7,0.00010449567633177854,0.0005956253550911377
108,5.7,9.404610869860069e-05,0.0005360628195820239
108,5.7,8.464149782874062e-05,0.0004824565376238216
108,5.7,7.617734804586657e-05,0.0004342108838614395
108,5.7,6.85596132412799e-05,0.0003907897954752955
108,5.7,6.170365191715192e-05,0.000351710815927766
108,5.7,5.553328672543673e-05,0.00031653973433498937
108,5.7,4.997995805289306e-05,0.00028488576090149044
108,5.7,4.498196224760375e-05,0.00025639718481134137
43,5.6835,4.0483766022843375e-05,0.00023008948419083033
257,5.655,3.643538942055904e-05,0.00020604212717326137
325,5.643300000000001,3.279185047850314e-05,0.0001850542498053368
176,5.55,2.9512665430652825e-05,0.00016379529314012318
101,5.3664000000000005,2.6561398887587544e-05,0.00014253909099034982
223,5.277,2.3905258998828788e-05,0.00012614805173681953
166,5.200000000000001,2.151473309894591e-05,0.00011187661211451875
75,5.164000000000001,1.936325978905132e-05,9.999187355066102e-05
84,5.069000000000001,1.7426933810146188e-05,8.833712748363104e-05
249,5.016500000000001,1.568424042913157e-05,7.867999211273853e-05
103,5.0034,1.4115816386218413e-05,7.06270757068052e-05
114,5.000000000000001,1.2704234747596572e-05,6.352117373798287e-05
114,5.000000000000001,1.1433811272836916e-05,5.716905636418459e-05
114,5.000000000000001,1.0290430145553224e-05,5.145215072776613e-05
114,5.000000000000001,9.261387130997901e-06,4.6306935654989515e-05
261,4.9503,8.335248417898112e-06,4.1261980243121025e-05
347,4.89,7.501723576108301e-06,3.668342828716959e-05
215,4.8241000000000005,6.751551218497471e-06,3.257015823315365e-05
93,4.800000000000001,6.076396096647724e-06,2.916670126390908e-05
93,4.800000000000001,5.468756486982952e-06,2.6250031137518173e-05
93,4.800000000000001,4.921880838284657e-06,2.3625028023766357e-05
93,4.800000000000001,4.4296927544561915e-06,2.1262525221389723e-05
57,4.7983,3.986723479010572e-06,1.912949526933643e-05
314,4.671,3.588051131109515e-06,1.6759786833412546e-05
162,4.3994,3.2292460179985636e-06,1.4206744931582881e-05
297,4.390000000000001,2.9063214161987074e-06,1.2758751017112327e-05
208,4.3,2.6156892745788365e-06,1.1247463880688998e-05
208,4.3,2.354120347120953e-06,1.0122717492620098e-05
326,4.2421,2.118708312408858e-06,8.987772532069616e-06
246,4.167999999999999,1.906837481167972e-06,7.947698621508106e-06
6,4.160400000000001,1.716153733051175e-06,7.13988599098611e-06
218,4.1384,1.5445383597460574e-06,6.391917547973084e-06
151,4.1285,1.3900845237714517e-06,5.738963956390438e-06
115,4.1,1.2510760713943066e-06,5.129411892716657e-06
115,4.1,1.1259684642548759e-06,4.61647070344499e-06
115,4.1,1.0133716178293884e-06,4.154823633100492e-06
115,4.1,9.120344560464496e-07,3.7393412697904427e-06
115,4.1,8.208310104418046e-07,3.3654071428113986e-06
115,4.1,7.387479093976242e-07,3.028866428530259e-06
115,4.1,6.648731184578617e-07,2.725979785677233e-06
115,4.1,5.983858066120756e-07,2.4533818071095098e-06
8,4.016500000000001,5.385472259508681e-07,2.1630749330316618e-06
19,3.9243000000000006,4.846925033557813e-07,1.9020787909190927e-06
7,3.866,4.3622325302020313e-07,1.6864390961761054e-06
110,3.8520000000000003,3.9260092771818286e-07,1.5122987735704405e-06
179,3.8442000000000003,3.533408349463646e-07,1.3583128377008148e-06
21,3.8329999999999997,3.180067514517281e-07,1.2189198783144739e-06
346,3.8186000000000004,2.8620607630655533e-07,1.0929065229842124e-06
334,3.8131,2.575854686758998e-07,9.821991506080735e-07
136,3.7840000000000003,2.318269218083098e-07,8.772330721226444e-07
40,3.7818000000000005,2.0864422962747884e-07,7.890507476051996e-07
205,3.78,1.8777980666473096e-07,7.09807669192683e-07
315,3.7717000000000005,1.6900182599825786e-07,6.374241871176293e-07
232,3.75,1.521016433984321e-07,5.703811627441204e-07
335,3.7412000000000005,1.368914790585889e-07,5.121384014539928e-07
295,3.675,1.2320233115273e-07,4.527685669862827e-07
129,3.6675000000000004,1.10882098037457e-07,4.0666009455237357e-07
149,3.6618000000000004,9.97938882337113e-08,3.654252599342041e-07
